序号,aweme_id,描述,时长(秒),发布时间,作者,点赞数,评论数,收藏数,分享数,播放数,封面URL,播放URL,分享链接
1,7465228756593036581,少女的盛夏永不落幕 ☆^•ω<^ ੭           #日本 #神的随波逐流 #旅行转场 #宅舞,17.3,2025-01-29 15:01:09,白昼小熊,4205206,20569,257312,489842,50919174,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/6b85409f6d8d24e1fa0123571184c523~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=5ylNi1T8iALPovnS4qfL2%2BUmecM%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/99e43a1d300d37120cc3b007e4f30927/69da58bc/video/tos/cn/tos-cn-ve-15c001-alinc2/oM1mU1iiuJeiQEhIKBizAbrBgAD3IAbUfOzAG6/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4129&bt=4129&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=ZTQ3N2Y0PGZoOGQ7Ojw5ZUBpM287bHQ5cmR3eDMzNGkzM0BjNTY1MTUtNTMxNWBeLV5fYSMtYWBuMmRjL2BgLS1kLTBzcw%3D%3D&btag=80000e00010000&cquery=100z_100o_101B_100B_100x&dy_q=1775906427&feature_id=136e8d81b95d650c236697554379e663&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7465228756593036581/?region=CN&mid=7454163489561922319&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=xrmj6OnCdY157az1NBtS8_KcFMpFIxbH_yMVmeDxh0U-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
2,7616664549499911538,你一句追你的人排到了法国，我就来巴黎排队了 #旅行转场#粉彩系#我为粉彩系代言#hello时尚季,14.8,2026-03-13 17:08:30,白昼小熊,7058689,67423,355963,556022,191492505,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/93293417b9c6bc23b8d86b3b71d1f66a~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=jh82A9N2pjmHCVmIN1%2B4bH%2B2Ws0%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/ccb8353889eb7f5a373977c10235604a/69da58b9/video/tos/cn/tos-cn-ve-15/o0bz9pGHsW2EA1kNAAEGNePf0ZLgNFIDQbNBv9/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3383&bt=3383&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=Ozg8NzM4OmZpZWVkOmU0NUBpamc4d3g5cnd3OTMzNGkzM0AvYGE1YTYuXzYxMDVhNl5gYSNramcwMmQ0NG1hLS1kLWFzcw%3D%3D&btag=80000e00010000&cquery=100o_101B_100B_100x_100z&dy_q=1775906427&feature_id=37f92ebd2877ae8e7eba995d406c5150&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7616664549499911538/?region=CN&mid=7616664499705580330&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=3RoiG5zMnCaGFVY1qaAB8W9WHbxhgk.TcRoIwvH7BqY-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
3,7482959476455148851,意想不到的旅行转场也是被我拍上了… #旅行转场,13.1,2025-03-18 09:45:02,白昼小熊,2718642,12305,179903,464796,34767309,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/09ff666734d8c29f86012071e5b1d701~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=0jy6NZ3QcUSIOpitPaXjKVNibH0%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/8142e96fffda167ac48875493bf8702f/69da58b8/video/tos/cn/tos-cn-ve-15/oggEPIwcQBawjAGx9FjYPbIQiA9iZE0DQIjzQ/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4090&bt=4090&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=Njs0NGc7ZTczO2Q6PDlpZUBpM3ZuN2s5cjZneTMzNGkzM0A1YGAuX2IvXi4xL2NhYDYzYSNhZC0vMmQ0LWBgLS1kLTBzcw%3D%3D&btag=80000e00008000&cquery=101B_100B_100x_100z_100o&dy_q=1775906427&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7482959476455148851/?region=CN&mid=7482959538958633765&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=RI2mFf9_tKCFsGtHXH8XoFHqX0Oq4JMCL3mOkufKi.M-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
4,7465600924837301514,古希腊掌管吃饭转场的神！ （原创cr.壶提提） #转场 #吃货日常,7.3,2025-01-30 15:05:01,白昼小熊,2243070,13110,126021,430405,34107389,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/9cb1a948544d77a7af2ccc46b084013e~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=ZoevaYQ%2B7e%2B8vPVOi09V5Ll5Wfk%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/8ce3549fb88da6787c05430bc4f9b71c/69da58b2/video/tos/cn/tos-cn-ve-15/ogh2QdBnAguIKv9gHEHrfgiAM2fDmFqRyDl2yA/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4307&bt=4307&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=Zjw3ZGlpZ2Y0NjZmNGhnaUBpM2s4aG85cndseDMzNGkzM0BhMl4yLjItX2MxXzMtNF8xYSM1Mm81MmRrNWFgLS1kLTBzcw%3D%3D&btag=80000e00008000&cquery=100o_101B_100B_100x_100z&dy_q=1775906427&feature_id=136e8d81b95d650c236697554379e663&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7465600924837301514/?region=CN&mid=7465600932273867557&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=XbLVVUszLSsDh6brJJ9GxpLiJ_yQzD.W5i.LQK9zUck-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
5,7388490675899141376,世界这么宽广 别只走进悲伤的墙角 #氛围感,12.6,2024-07-06 19:57:28,白昼小熊,1026982,3377,24462,48762,7654434,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/80acfdf5f117f30d93762ae54caefcc5~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=3K3JvJGZBEfHOEXCkvP%2FGgCBkVg%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/6f28bea6f0c9f1e35434a8c00fa66c2d/69da58b7/video/tos/cn/tos-cn-ve-15/oAoe8RimYGVgt0DLAkiDgygIBfAAiAQsvBczJE/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4189&bt=4189&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=M2c6NmQ4aWU2Mzk6Ojg2OkBpM2Y1c3Y5cjRtdDMzNGkzM0AuMi82MzYtNjIxYF8wLV5hYSNoczBeMmRzLzFgLS1kLTBzcw%3D%3D&btag=80000e00008000&cquery=101B_100B_100x_100z_100o&dy_q=1775906427&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7388490675899141376/?region=CN&mid=7388490367445863204&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=G0H6_s8UeT2ZrmTbS0Tu6S2gmnAvMMoTVOGxsx_xpIk-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
6,7462759680415190282,下课后一起走吧 #神户,20.6,2025-01-22 23:20:22,白昼小熊,1371674,5961,50305,215138,13324057,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/ba28b93bc5f086570ef9e915992d49fb~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=as6yQpLfEHmlEkYtXJ%2FzFwcOeqs%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/88ce15fcbd23a55b3f15a220cae53d43/69da58bf/video/tos/cn/tos-cn-ve-15/o0fnQEAWOg5IMsAATHHRuERDe0dfM8wIYebeqa/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3969&bt=3969&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=NmRoNzU1NzlnOjg1Zmg8OUBpamV5Oms5cm1qeDMzNGkzM0BfXy1gYjRfNWMxMDYwYzFeYSNqNF4uMmRzbDVgLS1kLTBzcw%3D%3D&btag=80000e00010000&cquery=100o_101B_100B_100x_100z&dy_q=1775906427&feature_id=136e8d81b95d650c236697554379e663&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7462759680415190282/?region=CN&mid=7447514372462840614&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=DoWDs.dAMykSw1hWrw7aDOoOcxdKQjrMzPyiKQGZNLI-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
7,7366527396108832015,我喜欢晴天 你恰好是最好的太阳 #旅行碎片 #夏日清凉感硬核防晒 #玩乐嗨一夏,16.9,2024-05-08 15:28:50,白昼小熊,1234513,6501,41635,110771,16029337,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/8c95af2583b9e3701bdd89bec1936832~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=vdnfKDOoNU%2BOY5WPt2LpPzul5io%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/1f0a10cea6d64fd9248044b318c4df3d/69da58bb/video/tos/cn/tos-cn-ve-15c001-alinc2/osoLI4BzAghElleQIhuINQnAF2EzHfISZD15nA/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=4140&bt=4140&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=ZjM8NzppOGc0ZTU5OjxlZ0BpMzp5NTs6ZnVscjMzNGkzM0BgMGIvNV8wX14xXjY0NjBhYSM1X3BocjQwZnFgLS1kLTBzcw%3D%3D&btag=80000e00010000&cquery=100B_100x_100z_100o_101B&dy_q=1775906427&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7366527396108832015/?region=CN&mid=7044046282171680798&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=e5LzJXJuW0UGdoxcvJiYF9Tt7cNS9J.vHdfFTfIPNRM-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
8,7452640602342067482,我与天坛  🌳 #北京,0,2024-12-26 16:52:27,白昼小熊,2180154,15288,90587,216639,19039004,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813/ocBi4G7MEA5AD0tCbtWBfAOexiAiAAogAdszIS~noop.jpeg?lk3s=138a59ce&x-expires=1777114800&x-signature=MxdErJP%2Fp6cJQ0MxOMKWXfLrDdk%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://sf6-cdn-tos.douyinstatic.com/obj/ies-music/7127230852704324366.mp3,https://www.iesdouyin.com/share/video/7452640602342067482/?region=CN&mid=7127230854740708132&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&schema_type=37&share_sign=rz3yu8UF78l5fM5keQwOh0ddg.I0z9wCLRRMemOr1VU-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
9,7590371673138229083,新的剧本以自由为主题！ （yc美味黄） #旅行转场 #云南,19.6,2026-01-01 20:38:45,白昼小熊,2743157,8152,131539,137356,36378605,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/eae7b4924e4436123900a8f45a78b510~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=LQnIt9AVlMfeA75noNmPIOZyGDk%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/3e4e5ac9ca500895623473b8309722ff/69da58be/video/tos/cn/tos-cn-ve-15c000-ce/ooS5MZiEIEw0UpqfHKioyo5XnRUJWAAGBBzeQ8/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=7914&bt=7914&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=NTZmOzg3aDpkPGZnZ2k8NkBpamY4NHY5cmQ5ODMzbGkzNUBeYWFhLl41NTMxL2JeMzZiYSNnYm0wMmRjaF9hLS1kLTVzcw%3D%3D&btag=80000e00010000&cquery=100B_100x_100z_100o_101B&dy_q=1775906427&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7590371673138229083/?region=CN&mid=7590371651536456499&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=j2W7qjT6n3hJqmMSmGSC3pmD44nEHjxXvis_OSRws7A-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
10,7466356702552591654,梦想是穿好多漂亮衣服 （黄线外安全距离拍摄）#地铁随拍 #日本,12.7,2025-02-01 15:57:51,白昼小熊,769974,3371,37337,91711,10499149,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/910e8f3ea88f70972e6b62ee774ed699~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2091265200&x-signature=2S58p4VjthtVQ8aPT3DQCg7r3ZA%3D&from=327834062&s=PackSourceEnum_MIX_AWEME&se=false&sc=cover&biz_tag=pcweb_cover&l=20260411192027AAAD1E91E590690844CE,https://v26-web.douyinvod.com/750c9db36031da8a5e71ad7b839ec7ee/69da58b7/video/tos/cn/tos-cn-ve-15/oIRKvPfyeACugSG3BgaicpIABL7l6OuYBGIQBe/?a=6383&ch=54&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=8082&bt=8082&cs=0&ds=4&ft=AJkeU_TLRR0si0C4kYj2Nc.xBiGNbLPE3O-U_4YPfb2JNv7TGW&mime_type=video_mp4&qs=0&rc=ZmU4ZDo5ZTg7Njw1OTVnOUBpam40OGw5cjl3eDMzNGkzM0AyYl9eMS1iNjAxMV4wXzNeYSNjLTFpMmRzNGJgLS1kLTBzcw%3D%3D&btag=80000e00008000&cquery=100o_101B_100B_100x_100z&dy_q=1775906427&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20260411192027AAAD1E91E590690844CE,https://www.iesdouyin.com/share/video/7466356702552591654/?region=CN&mid=7466356706541570826&u_code=0&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=aQk.ebzxh6WjqjGg_nixVWCKgE3PTedp0UHlT6SNBh4-&share_version=170400&ts=1775906427&from_aid=6383&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
